,,,,,归属母公司股东的净利润同比增长率(%),,,,,,,归属母公司股东的净利润-扣除非经常损益同比增长率(%),,,,,,,营业总收入同比增长率(%),,,,,,,销售毛利率,,,,,,,销售净利率,,,,,,,加权平均净资产收益率,,,,,,
000597.SZ,东北制药,辽宁,化学制药,19960523,-134.2002,10.1299,-10.8718,64.0398,400.2313,106.189,-541.41,-39.77,12.62,185.8,-63.18,1121.65,97.03,-4203.25,-9.1155,7.8421,10.0923,31.5379,17.9036,25.5571,-11.5129,41.9501,45.3468,43.5774,41.376,39.5422,31.5571,26.5305,-0.8586,2.7663,2.0735,2.6969,1.6218,0.5472,-10.2271,-0.52,1.56,4.64,6.33,5.01,1.03,-15.53
000623.SZ,吉林敖东,吉林,化学制药,19961028,-49.0749,98.535,50.0918,-49.8147,11.82,-35.7458,83.8522,-24.87,64.23,45.43,-48.57,9.66,-37.22,86.27,-43.0525,16.1715,-7.0906,11.6672,8.7724,17.2153,4.2258,62.7044,73.5866,68.9596,72.0013,70.7514,71.0269,68.9541,69.8602,78.314,45.1175,27.8169,61.9848,60.5051,111.4388,1.47,3.01,6.5,4.51,9.59,9.43,17.33
000650.SZ,仁和药业,江西,中成药,19961210,-27.7256,34.2044,6.1925,33.2005,2.1071,-4.836,30.0411,-27.69,33.6,7.32,34.71,7.48,-6.2,29.88,-25.8916,13.9796,4.0366,14.56,7.7569,41.3352,12.0109,42.3969,42.508,42.315,42.9849,38.9347,36.6133,44.5603,13.1532,13.8826,13.5184,13.2644,11.477,12.0769,17.259,2.68,4.12,14.95,15.83,13.2,14.56,17.7
000661.SZ,长春高新,吉林,生物制药,19961218,48.5935,73.6665,76.3554,52.0503,36.5258,26.1062,20.8404,51.68,96.93,77.4,55.74,37.92,23.74,16.24,-6.4289,72.0739,37.1853,31.0252,41.5823,20.6216,6.1789,88.8982,81.8379,85.1945,85.1024,81.9439,79.421,78.3212,34.489,28.9586,31.8589,27.2152,22.6122,23.3627,22.4179,6.49,6.66,28.54,20.85,15.99,15.62,23.9
000705.SZ,浙江震元,浙江,医药商业,19970410,-10.2249,12.1989,198.4741,16.0465,34.9127,35.0075,-7.3012,-55.43,32.1,5.15,29.58,16.35,65.23,-31.47,-1.8529,9.6553,13.4739,10.867,5.6521,12.6878,3.9531,17.9522,20.9922,21.3467,20.6673,16.6181,14.3724,15.101,1.9745,2.1175,6.6007,2.5134,2.4419,1.9161,1.7133,0.86,1.18,13.36,5.08,4.59,3.53,2.93
000710.SZ,贝瑞基因,四川,医疗保健,19970422,-62.7915,155.3565,45.7031,15.1847,54.1166,67.8222,-289.1287,-14.24,8.23,15.87,13.01,57.81,39.35,34.15,11.1417,12.0125,12.3527,22.9337,27.0679,7.5301,-15.9282,55.4279,59.2621,61.1284,58.238,61.1285,6.7693,3.6368,16.2304,50.0549,23.9318,18.0423,20.8716,-1.6921,-5.6546,2.7,8.25,18.35,15.31,18.49,-3.62,-10.531
000739.SZ,普洛药业,浙江,化学制药,19970509,39.9537,64.6171,49.3413,44.4187,-2.3983,26.253,-35.3652,32.53,70.24,54.91,63.45,1.52,13.43,-13.04,1.5256,15.8649,13.0918,14.8536,16.3358,10.0105,2.4849,28.8767,31.656,32.3704,31.9282,30.8352,27.8257,27.391,9.0973,6.5994,7.6747,5.8115,4.6218,5.5089,4.8002,4.02,3.25,15.66,11.64,9.38,10.45,8.79
000756.SZ,新华制药,山东,化学制药,19970806,13.3997,11.6154,17.4889,19.6771,71.4151,47.2047,63.7491,8.02,11.42,10.96,38.37,66.7,146.64,366.42,4.6747,14.1403,6.8904,15.3276,12.4722,11.6187,0.2029,28.3421,32.1988,33.4397,29.9201,28.0819,24.9412,23.2594,5.4797,5.0595,5.7637,5.2667,4.8995,3.3138,2.6135,2.88,2.76,10.58,9.77,9.7,6.31,4.44
000766.SZ,通化金马,吉林,化学制药,19970430,-187.2135,-12.8819,-717.1499,28.2996,20.8083,3010.2705,32.8607,-239.04,-27.41,-1116.54,-16.63,22.67,3017.19,-48.91,-63.0059,13.6548,-5.6023,37.6716,78.9719,330.294,-5.2089,79.5886,83.279,82.809,83.7023,78.6996,68.7406,51.1803,-29.4872,12.3705,-103.3244,15.718,16.8981,24.9294,3.474,-1.7,1.07,-57.92,7.28,6.07,5.71,0.63
000788.SZ,北大医药,重庆,化学制药,19970616,-32.1942,3.4632,11.0894,31.8658,172.7989,-49.8211,192.3417,-31.03,0.83,37.24,26.83,241.51,103.49,-533.64,-25.5027,-7.1578,8.3463,7.9163,3.6544,2.9609,-11.2582,54.091,44.1605,38.5042,35.0479,26.3944,19.3546,12.4593,2.8271,3.1061,1.9882,1.944,1.5443,0.5394,0.583,0.82,1.24,4.07,3.78,2.96,1.1,2.23
000790.SZ,华神科技,四川,中成药,19980327,-47.8931,132.735,97.7337,-81.8431,108.0879,320.5342,-156.5989,-13.78,231.85,114.67,132.31,-66.48,174.79,-577.82,-17.553,19.7312,17.6697,7.1865,2.739,24.1484,-12.2875,70.467,69.8373,62.8703,65.3639,52.6286,54.7423,53.6516,4.9605,7.8489,8.269,4.9208,29.0494,14.3425,-8.074,0.73,1.46,7.11,3.75,22.84,13.21,-6.16
000806.SZ,*ST银河,广西,生物制药,19980416,32.4904,39.3835,-62.4543,-7490.2645,-25.796,-87.4424,292.9849,26.03,42.03,-33.82,-5464.27,-1051.7658,93.72,71.55,17.6153,-14.5436,2.6508,-27.2021,-13.19,44.722,3.7949,32.0999,33.3361,27.4615,20.6653,27.6882,26.1743,26.6322,-4.829,-8.8557,-149.0039,-96.7269,1.3336,1.3633,12.3247,-3.71,-0.89,-140.77,-40.38,0.49,0.64,6.03
000813.SZ,德展健康,新疆,化学制药,19980519,-24.2057,-32.0878,-63.7924,16.7275,20.4793,29.9422,-71.3554,-39.15,-31.85,-72.38,17.14,19.23,31.53,-393.98,-2.2073,-38.9193,-46.0632,48.2158,53.8667,22.3636,-8.6881,73.6627,87.0865,81.2573,92.6267,89.8863,84.5528,34.6693,19.3624,25.1184,18.9132,28.2763,35.82,45.6826,5.8896,1.62,2.26,6.19,18.74,19.2,35.71,0.5811
000908.SZ,景峰医药,湖南,化学制药,19990203,-92.8046,26.8402,-572.5624,15.2556,-52.3318,4.9142,29.1091,89.23,-1017.71,-686.14,18.02,-55.21,1.62,28.39,4.463,-23.0705,-48.0206,0.0791,-2.153,7.3795,25.6259,59.7594,61.683,60.0406,75.6589,78.6229,78.8201,81.1504,-2.4164,2.2956,-68.5663,7.6782,7.1688,14.6981,15.0544,0.09,0.78,-43.45,7.67,6.89,15.08,17.36
000915.SZ,山大华特,山东,化学制药,19990609,107.211,-67.6464,57.3765,-46.6735,22.5903,30.1261,-29.866,99.99,-67.87,28.53,-37.57,22.3,37.8,-26.46,1.3965,-29.9457,17.9341,-13.6372,14.4044,25.2853,-10.2616,69.0359,57.2884,59.1494,60.3168,67.6618,60.4524,62.2966,29.0131,12.1436,19.946,15.6958,25.5106,22.7197,21.2068,2.82,1.49,12.26,8.42,17.5,16.62,14.75
000919.SZ,金陵药业,江苏,化学制药,19991118,-113.13,346.4967,-39.8977,76.324,-23.8826,-13.4343,5.5404,-42.72,-51.11,-65.91,1.61,-31.15,1.85,1.7,-16.2239,-22.5162,-12.5612,-9.1714,-10.8097,11.0908,16.2137,16.6647,22.6927,23.598,24.0187,22.1676,20.5027,21.9655,-5.3392,36.0888,7.2458,9.9645,5.418,6.2128,8.1333,-0.96,7.4,5.08,9.05,5.34,7.23,8.74
000931.SZ,中关村,北京,生物制药,19990712,-224.0273,72.9692,2.2309,553.0847,-47.8708,-82.0473,1008.2175,-262.25,490.61,728.95,-283.22,46.33,107.22,-4.54,-26.6953,31.794,20.3914,1.9346,17.7289,37.155,-64.4708,60.1485,56.7567,54.4214,53.4372,47.6213,46.3062,42.6631,-3.7921,4.9385,5.908,6.8159,2.5027,3.0456,14.3301,-1.04,0.82,5.67,5.67,1.15,3.27,21.48
000950.SZ,重药控股,重庆,医药商业,19990916,-42.4488,-4.2817,14.0948,-37.5677,318.3793,-80.9423,-1.5908,-38.07,-3.45,13.51,375.46,118.62,-42.83,-27.97,-3.0988,30.2869,31.1637,11.9687,-1.5848,-22.8296,12.0509,8.7087,8.3039,9.052,8.9605,9.2382,-3.8419,7.1375,1.24,1.9397,2.7903,2.9102,5.0026,-25.9567,-11.0311,1.01,1.78,10.11,9.84,17.7,-48.44,-19.48
000952.SZ,广济药业,湖北,化学制药,19991112,-143.5399,-64.1596,-49.3718,63.2224,-25.8233,577.9602,109.5649,-160.41,-65.5,-69.17,46.03,-21.01,523.1,110.34,-26.253,-26.1099,-13.3309,5.2741,12.1491,27.5483,15.3332,28.7461,49.1813,46.4622,56.8218,50.8936,52.1882,32.3108,-11.2759,16.5004,11.3741,20.5503,13.2312,20.3319,3.2864,-1.39,3.42,9.48,20.77,14.89,24.32,4.11
000963.SZ,华东医药,浙江,化学制药,20000127,26.4575,37.6285,24.0774,27.4078,23.0137,31.8785,44.9659,0.11,30.45,15.12,28.52,23.29,32.52,44.24,-11.4071,23.8416,15.5962,10.1738,9.6619,16.8096,14.6722,40.7349,34.8488,32.0461,28.9879,26.1216,24.2736,23.9771,13.4149,9.6631,8.2532,7.8112,6.7844,6.0498,5.3028,8.89,8.35,25.29,24.87,23.02,22.19,42.98
000989.SZ,九芝堂,湖南,中成药,20000628,10.4316,-43.4175,-42.895,-52.7585,9.2734,38.3792,16.7895,32.55,-46.81,-40.79,-60.55,7.48,32.24,15.26,-4.291,11.167,0.6826,-16.7255,42.0157,206.7997,9.2671,61.7939,62.8527,61.553,62.3859,68.5502,59.8766,79.1659,9.8757,8.55,5.8639,10.5181,18.7558,24.3831,54.0476,2.21,1.9,4.7,7.52,16.49,16.56,30.1
000999.SZ,华润三九,深圳,中成药,20000309,-54.2947,175.9056,47.5125,10.0171,8.6695,-4.1134,20.5946,2.28,11.29,-4.11,11.53,5.11,1.54,5.23,-9.9124,3.0161,9.4891,20.754,23.8061,13.6899,8.57,60.4098,62.8473,67.1467,69.0167,64.8582,62.5655,61.1778,17.1388,33.5548,14.5497,10.9838,11.9288,13.4469,16.135,4.16,10.23,18.06,13.86,14.06,14.78,17.33
002001.SZ,新和成,浙江,化学制药,20040625,76.5146,-65.82,-29.5649,80.6419,41.7234,199.1121,-50.2416,82.57,-67.52,-33.04,75.48,43.46,223.73,-54.7,42.6772,-39.7119,-12.2349,39.2659,32.767,22.8574,-8.2048,51.0023,46.5991,47.2814,53.3742,50.4691,45.4276,27.2188,34.4048,27.899,28.56,35.6824,27.4863,26.0927,10.1983,5.21,3.11,13.24,20.54,19.87,15.92,5.74
002004.SZ,华邦健康,重庆,化学制药,20040625,-17.1547,3.631,22.4625,1.0967,-10.4015,-10.9573,48.334,-13.69,-1.68,3.45,23.08,-29.13,-12.6,53.07,-8.0899,-9.3909,-4.5609,15.1452,28.425,14.8757,26.8687,37.8089,40.9747,46.5306,40.5912,31.9888,32.9937,34.561,4.4523,6.0867,9.2347,7.7818,6.5174,8.624,10.638,0.88,1.1,6.74,5.46,5.35,5.9,9.01
002007.SZ,华兰生物,河南,生物制药,20040625,-4.7088,25.1606,12.6314,38.8256,5.1916,32.4542,9.4168,1.49,27.62,14.47,31.74,12.02,33.96,13.3,-2.6223,23.8306,15.0158,35.8386,22.4073,31.4525,18.3577,61.4574,66.5544,64.9535,64.9788,62.417,60.5353,57.9457,35.0427,36.5929,37.2675,37.5995,33.9373,39.8706,39.5443,3.71,4.58,19.89,22.36,18.48,19.85,16.72
002019.SZ,亿帆医药,浙江,化学制药,20040713,119.7877,-54.75,22.5146,-43.4959,85.1834,95.4561,51.5593,119.12,-54.15,8.46,-42.73,76.95,138.28,26.39,16.6201,-9.3338,11.9834,5.9109,24.7872,43.9303,44.5076,55.6528,42.0211,46.1308,44.0775,57.2337,50.549,40.3915,23.8191,12.4187,16.8333,14.9764,28.9406,19.5,14.8654,4.22,2.2,12.84,11.16,27.87,22.02,13.29
002020.SZ,京新药业,浙江,化学制药,20040715,-27.1832,49.2507,40.9212,39.9656,32.3533,20.2997,54.2861,-15.6,20.43,33.53,653.97,-76.69,26.57,35.12,-11.1521,38.809,23.8767,32.6595,18.3211,32.4762,14.5853,60.8927,59.2303,65.0798,64.8522,58.904,53.9098,50.643,12.158,14.7229,14.313,12.6193,12.0333,10.8335,11.7038,2.63,3.67,14.41,9.79,9.17,8.681,11.284
002022.SZ,科华生物,上海,医疗保健,20040721,0.8371,2.1768,-2.5524,-4.5835,-6.2997,10.3385,-27.8617,-3.85,0.62,4.47,-14.53,-4.48,17.56,-33.57,6.1335,11.7994,21.3172,24.8475,14.1368,20.842,-5.0992,48.4294,48.7834,43.9731,40.8598,41.3087,41.7068,42.1526,15.3119,12.9503,11.3232,12.4014,13.8898,16.527,18.1572,2.1,2.25,8.91,9.95,11.33,13.2,13.89
002030.SZ,达安基因,广东,生物制药,20040809,559.3715,1.6748,-9.2546,17.5079,-18.9695,5.3816,-33.8558,653.94,-2.36,-74.73,-13.66,-22.68,8.13,2.63,133.1636,-35.0275,-25.729,-4.1341,-4.3491,9.3751,35.7395,56.55,47.3246,49.821,41.6116,43.1403,43.4278,37.6323,31.1694,11.4434,-4.2942,5.8506,6.2318,8.4284,7.9868,9.63,1.54,5.1,5.77,5.29,7.71,10.09
002038.SZ,双鹭药业,北京,生物制药,20040909,-69.2941,9.9769,-14.816,7.0982,18.0196,-21.3793,-17.269,-76.56,6.24,-25.88,61.2,-17.54,-20.76,-17.53,-58.1935,5.7924,-6.3562,74.5039,22.9964,-12.6844,-6.9515,87.5837,84.6468,79.4365,79.3181,70.6693,65.2161,65.9687,30.8973,42.5987,23.6241,25.9931,42.5705,44.3023,49.9086,1.27,4.36,10.43,12.95,13.03,12.06,17.04
002044.SZ,美年健康,江苏,医疗保健,20050518,-405.6763,-6.4545,-205.5841,40.5334,35.8864,30.2132,85.7634,-121.33,-174.28,-222.24,33.55,71.33,43.98,55.2,-58.1526,4.2089,0.7871,34.6382,44.4798,46.6518,46.8862,-49.8496,20.3204,43.8098,47.5608,46.9627,48.3072,47.9509,-119.5581,-10.5887,-8.3723,11.5008,11.1394,12.282,13.6171,-8.3,-1.82,-13.84,13.54,10.0,10.63,10.32
002099.SZ,海翔药业,浙江,化学制药,20061226,-48.0848,352.2933,27.4012,76.7894,52.0842,-56.4414,865.2361,-47.99,341.53,24.18,100.77,-27.56,-17.8,933.73,-30.8365,36.2093,8.1955,17.7436,-5.1334,-1.243,86.8265,48.2337,48.6277,50.2566,44.3854,42.9433,43.78,46.2294,18.2699,24.3399,26.2045,22.2542,14.8276,9.2266,20.6735,1.92,3.69,14.07,11.35,6.9,5.79,14.52
002102.SZ,ST冠福,福建,化学制药,20061229,-46.8816,-39.8277,125.4079,-1059.9916,15.1397,26.9601,3296.3225,-74.89,-38.82,-8.98,40.44,227.33,368.8,59.15,-43.6791,6.529,11.4914,46.8086,997.3616,-32.595,-29.761,6.158,7.3697,5.6887,5.2345,6.5777,32.3759,24.5719,4.3812,4.6155,4.2033,-19.3538,2.8571,27.8986,14.534,2.37,6.0,24.53,-68.62,5.55,8.17,7.53
002107.SZ,沃华医药,山东,中成药,20070124,226.0734,-21.4437,109.8539,-19.9544,16.846,-31.6066,64.6334,212.3,-28.75,115.45,-24.43,20.42,-24.63,112.09,16.3407,1.1775,11.089,6.574,29.1022,20.0293,7.095,77.6135,77.2547,76.5774,77.1099,78.4351,74.6649,72.3554,20.7358,6.4121,11.3033,5.1647,11.1193,10.9184,17.4716,6.36,2.25,15.21,7.99,11.02,10.18,11.06
002118.SZ,紫鑫药业,吉林,中成药,20070302,-489.771,-113.5886,-59.6203,-53.1532,127.7291,312.1247,-16.1075,-401.09,-117.7,-121.66,-56.23,183.76,1232.99,-56.74,-63.867,-53.0367,-35.1461,-0.171,61.9531,29.4122,-18.3643,56.1063,72.9211,76.501,64.8392,79.6888,73.8996,66.8092,-185.8054,-11.3928,8.1736,13.1316,27.9841,19.85,6.1953,-2.48,-43.03,1.62,4.13,9.46,5.2,1.98
002162.SZ,悦心健康,上海,医疗保健,20070823,-153.6872,37.5942,55.5529,20.6953,18.4778,17.9589,0.4928,-96.49,12.07,7567.29,145.37,97.39,49.93,-127.78,-35.3626,28.9166,19.262,8.6267,15.726,13.6928,-19.067,35.2715,33.4424,34.8989,34.6592,34.6104,35.0559,32.6587,-17.0498,-4.3353,3.1786,2.2909,1.9846,2.0311,2.0894,-1.97,-0.81,3.98,2.74,2.35,2.06,1.78
002166.SZ,莱茵生物,广西,中成药,20070913,1.8436,-41.4517,29.3748,-60.3455,195.6211,-7.4846,80.9608,-36.25,-40.25,25.19,-18.83,33.58,-1.21,106.18,11.956,-6.2759,19.6667,-22.6775,40.2161,11.0749,-19.3106,30.7096,35.715,30.1718,32.8433,26.6688,25.5416,30.8354,13.9068,10.1864,14.1419,13.163,25.6955,12.1716,14.6345,0.92,0.96,6.77,7.57,21.71,8.54,12.56
002173.SZ,创新医疗,浙江,医疗保健,20070925,-207.4121,-21.2511,-3975.0131,-78.914,22.691,275.5703,-502.6565,-271.85,-41.82,-5057.31,-80.23,-1.18,438.1,-45.95,-36.0109,2.4197,-17.631,16.9861,18.6623,456.6101,-25.2407,-1.5882,34.922,7.9226,36.9697,39.8093,38.7028,33.5855,-23.8967,14.2837,-131.8259,2.8278,15.5547,15.0471,-47.6772,-1.49,0.93,-37.78,0.82,3.92,3.56,-14.65
002198.SZ,嘉应制药,广东,中成药,20071218,-80.2527,0.2447,-440.5497,116.7062,-489.2582,-16.8531,-9.9099,-69.46,-14.85,-459.73,116.0,-490.09,-13.38,-1.07,5.2567,-6.0577,-6.7934,14.7203,4.0293,-5.4338,-15.9088,63.8291,71.3115,78.7454,73.1827,73.2879,76.7234,73.3697,1.812,9.6584,-24.4123,6.6815,-45.8813,12.2618,13.9458,0.25,1.07,-16.97,4.67,-24.62,5.76,7.4
002219.SZ,*ST恒康,甘肃,中成药,20080306,-215.2777,-47.6236,-77.7058,-799.0892,-49.7539,24.7215,25.7618,-257.58,-52.12,-79.4,-826.17,-46.32,38.43,3.26,-41.0074,-1.0479,-4.0101,12.917,56.2749,84.0712,72.3496,18.2589,34.2468,26.3951,21.5347,31.8188,36.0017,46.8345,-6.1447,3.61,-67.7848,-36.1527,6.5515,18.2128,27.2576,-17.29,0.99,-167.76,-41.1,4.88,10.29,11.94
002223.SZ,鱼跃医疗,江苏,医疗保健,20080418,55.1596,15.409,3.4948,22.824,18.4481,37.3032,22.6727,53.29,16.36,10.15,25.26,4.8,39.53,31.36,15.8,15.3262,10.8176,18.1228,34.14,25.139,25.0883,53.1227,41.1101,42.2083,39.8252,39.663,38.6918,39.8206,27.3619,20.5217,16.4276,17.9492,17.7193,19.0529,17.43,6.11,4.39,13.07,13.69,11.37,14.32,18.85
